id,name,parent_area_id,description,boundary_id,valid_from,valid_until,area_type_id,created_on,created_by_user_id,updated_on,updated_by_user_id,boundary_status_id,retired,label,area_short_name,area_hq_id,area_code,establishment_date_approximated,mof_code,created_at,updated_at,deleted_at,ares_code
"4039","Bwawani","4031",,,,,"4","2024-10-25 07:08:16+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000255"
"4040","Ilboru","4031",,,,,"4","2024-10-25 07:08:16.012+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000699"
"4041","Ilkiding'a","4031",,,,,"4","2024-10-25 07:08:16.025+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000712"
"4042","Kimnyaki","4031",,,,,"4","2024-10-25 07:08:16.038+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8001304"
"4043","Kiranyi","4031",,,,,"4","2024-10-25 07:08:16.05+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001369"
"4044","Kisongo","4031",,,,,"4","2024-10-25 07:08:16.062+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001424"
"4045","Kiutu","4031",,,,,"4","2024-10-25 07:08:16.074+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001475"
"4046","Laroi","4031",,,,,"4","2024-10-25 07:08:16.086+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001600"
"4047","Lemanyata","4031",,,,,"4","2024-10-25 07:08:16.098+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001604"
"4048","Mateves","4031",,,,,"4","2024-10-25 07:08:16.11+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002120"
"4049","Mlangarini","4031",,,,,"4","2024-10-25 07:08:16.122+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002479"
"4050","Moivo","4031",,,,,"4","2024-10-25 07:08:16.136+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002539"
"4051","Musa","4031",,,,,"4","2024-10-25 07:08:16.148+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002762"
"4052","Mwandet","4031",,,,,"4","2024-10-25 07:08:16.16+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002842"
"4053","Nduruma","4031",,,,,"4","2024-10-25 07:08:16.172+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003062"
"4054","Oldonyowas","4031",,,,,"4","2024-10-25 07:08:16.184+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8003378"
"4055","Oljoro","4031",,,,,"4","2024-10-25 07:08:16.197+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003380"
"4056","Lengijave","4031",,,,,"4","2024-10-25 07:08:16.21+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001609"
"4057","Olmotonyi","4031",,,,,"4","2024-10-25 07:08:16.222+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003385"
"4058","Oloirien","4031",,,,,"4","2024-10-25 07:08:16.234+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,
"4059","Olturoto","4031",,,,,"4","2024-10-25 07:08:16.248+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003391"
"4060","Olturumet","4031",,,,,"4","2024-10-25 07:08:16.264+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003392"
"4061","Sambasha","4031",,,,,"4","2024-10-25 07:08:16.277+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003535"
"4062","Sokoni II","4031",,,,,"4","2024-10-25 07:08:16.29+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8003652"
"4063","Tarakwa","4031",,,,,"4","2024-10-25 07:08:16.302+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003726"
"4064","Baraa","4032",,,,,"4","2024-10-25 07:08:16.315+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000037"
"4065","Daraja II","4032",,,,,"4","2024-10-25 07:08:16.327+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000393"
"4066","Elerai","4032",,,,,"4","2024-10-25 07:08:16.34+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000427"
"4067","Engutoto","4032",,,,,"4","2024-10-25 07:08:16.352+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000449"
"4068","Kaloleni","4032",,,,,"4","2024-10-25 07:08:16.364+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000973"
"4069","Kati","4032",,,,,"4","2024-10-25 07:08:16.376+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001083"
"4070","Kimandolu","4032",,,,,"4","2024-10-25 07:08:16.389+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001296"
"4071","Lemara","4032",,,,,"4","2024-10-25 07:08:16.401+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001605"
"4072","Levolosi","4032",,,,,"4","2024-10-25 07:08:16.414+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001613"
"4073","Moivaro","4032",,,,,"4","2024-10-25 07:08:16.426+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002538"
"4074","Moshono","4032",,,,,"4","2024-10-25 07:08:16.438+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002552"
"4075","Muriet","4032",,,,,"4","2024-10-25 07:08:16.45+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08002751"
"4076","Ngarenaro","4032",,,,,"4","2024-10-25 07:08:16.462+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003089"
"4077","Olasiti","4032",,,,,"4","2024-10-25 07:08:16.474+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003367"
"4078","Olmoti","4032",,,,,"4","2024-10-25 07:08:16.487+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003384"
"4079","Oloirien","4032",,,,,"4","2024-10-25 07:08:16.499+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003388"
"4080","Osunyai Jr","4032",,,,,"4","2024-10-25 07:08:16.511+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003397"
"4081","Sakina","4032",,,,,"4","2024-10-25 07:08:16.524+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003526"
"4082","Sekei","4032",,,,,"4","2024-10-25 07:08:16.537+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003573"
"4083","Sinoni","4032",,,,,"4","2024-10-25 07:08:16.549+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003634"
"4084","Sokoni I","4032",,,,,"4","2024-10-25 07:08:16.562+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8003651"
"4085","Sombetini","4032",,,,,"4","2024-10-25 07:08:16.575+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003660"
"4086","Terrat","4032",,,,,"4","2024-10-25 07:08:16.588+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003737"
"4087","Themi","4032",,,,,"4","2024-10-25 07:08:16.6+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003739"
"4088","Unga Ltd","4032",,,,,"4","2024-10-25 07:08:16.613+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08003830"
"4089","Baray","4033",,,,,"4","2024-10-25 07:08:16.626+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000039"
"4090","Buger","4033",,,,,"4","2024-10-25 07:08:16.638+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000111"
"4091","Daa","4033",,,,,"4","2024-10-25 07:08:16.651+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000385"
"4092","Endabash","4033",,,,,"4","2024-10-25 07:08:16.663+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000429"
"4093","Endamaghang","4033",,,,,"4","2024-10-25 07:08:16.676+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000434"
"4094","Endamarariek","4033",,,,,"4","2024-10-25 07:08:16.688+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08000435"
"4095","Ganako","4033",,,,,"4","2024-10-25 07:08:16.7+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"8000468"
"4096","Kansay","4033",,,,,"4","2024-10-25 07:08:16.712+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:16","2024-10-25 04:08:16",,"08001011"
